source,reliability,bias
real-coffee-with-scott-adams,18.0,18.17
real-news-network,36.79,-17.53
real-raw-news,3.84,30.3
real-time-with-bill-maher,33.58,-9.17
realcleardefense,40.31,5.83
realclearpolitics,26.9,14.45
reason,36.26,4.84
red-eagle-politics,26.87,20.31
redstate,21.12,21.64
relatable-with-allie-beth-stuckey,35.25,10.97
reliable-sources,32.63,-14.97
republican-american,45.72,-1.87
reuters,45.18,-1.17
reveal,39.81,-8.94
reveal-podcast,45.22,-15.83
right-wing-watch,26.97,-18.29
rob-schmitt-tonight,18.76,23.53
roll-call,46.27,-3.31
rolling-stone,25.8,-13.93
ron-paul-liberty-report,23.14,17.13
rough-translation,42.67,-9.19
rt,28.66,11.46
rt-news,14.42,22.73
rttnews,42.85,-2.37
rudy-giuliani’s-common-sense,15.42,24.59
rumble-with-michael-moore,24.95,-22.14
ruthless,32.75,15.49
sacramento-bee,44.52,-8.2
salon,32.38,-13.86
salt-lake-tribune,46.32,-1.2
san-diego-union-tribune,45.68,-1.76
san-francisco-chronicle,44.98,-6.06
saturday-agenda,21.56,22.58
save-the-nation,25.89,20.73
sciencenews,47.37,-1.86
scientific-american,33.5,-11.25
scripps-news,44.23,-1.39
seattle-times,40.82,-7.29
seattlepi,44.61,-2.77
second-nexus,25.51,-19.7
sekulow,26.94,17.25
semafor,40.14,-5.92
sf-examiner,43.35,-8.28
sfgate,43.52,-1.26
shadowproof,35.5,-23.23
skimm-this,43.25,-9.71
sky-news,42.16,-0.85
slate,35.17,-12.93
smartless,35.5,-15.97
smerconish,35.9,1.61
smithsonian-magazine,45.28,-4.16
snopes,44.44,-2.31
sojourners,39.16,-12.8
south-china-morning-post,41.61,-3.25
special-report-w/bret-baier,44.33,8.93
spicer-&-co.,20.71,21.13
sputnik-international-news,35.83,7.13
st.-louis-post-dispatch,44.66,-8.21
stand-up!-with-pete-dominick,24.89,-20.6
stars-and-stripes,48.79,0.45
start-here,45.19,-4.83
stat-news,44.16,-2.54
state-of-the-union-with-jake-tapper-and-dana-bash,39.17,-7.92
stay-tuned-with-preet,41.47,-13.43
staying-home-with-josh-fox,31.76,-26.0
stephanie-miller’s-happy-hour,28.58,-22.14
stephanie-ruhle-reports,37.33,-11.11
stinchfield,15.68,25.92
straight-arrow-news,41.95,1.33
stu-does-america,28.56,18.2
stuff-you-should-know,38.61,-4.81
sun-sentinel,44.12,-6.04
sunday-night-in-america-with-trey-gowdy,35.42,12.0
sunday-papers,24.0,-6.81
sunday-today-with-willie-geist,41.89,-6.59
symone,34.0,-17.17
syracuse-post-standard,46.7,-2.87
talking-points-memo,35.81,-11.79
tampa-bay-times,45.56,-3.28
tangle,43.04,1.58
techcrunch,45.28,-0.4
teen-vogue,37.79,-15.5
tennessean,47.13,-1.79
tgp-factcheck,17.73,19.37
the-11th-hour-with-brian-williams,38.52,-17.39
the-11th-hour-with-stephanie-ruhle,34.93,-16.43
the-advocate-–-baton-rouge,45.85,-4.0
the-al-franken-podcast,32.8,-20.12
the-alex-jones-show,6.67,31.67
the-american-conservative,31.63,14.44
the-american-legion,41.16,2.92
the-american-prospect,32.82,-16.31
the-american-spectator,17.46,22.97
the-andrew-klavan-show,9.95,27.54
the-argument,39.33,-11.82
the-atlantic,37.96,-9.01
the-axe-files-with-david-axelrod,39.83,-12.32
the-beat-with-ari-melber,31.05,-18.67
the-ben-ferguson-podcast,11.69,27.33
the-ben-shapiro-show,23.41,20.62
the-big-sunday-show,29.89,16.22
the-blaze,31.77,13.14
the-bottom-line,38.67,-10.5
the-breakdown-with-shaun-king,29.44,-19.67
the-breakfast-club,30.08,-15.2
the-briefing,41.53,-15.89
the-brilliant-idiots,28.17,-4.48
the-bulwark,34.35,-3.51
the-bulwark-podcast,32.47,-14.95
the-business-journals,46.15,-0.11
the-candace-owens-show,16.38,26.59
the-chad-prather-show,21.44,22.73
the-charlie-kirk-show,13.03,26.52
the-christian-post,36.41,10.31
the-college-fix,34.31,10.33
the-conversation,40.75,-4.86
the-cross-connection-with-tiffany-cross,30.22,-22.44
the-cut,32.69,-15.26
the-daily-beans,32.75,-18.53
the-daily,41.94,-9.42
the-daily-punch,41.22,-0.67
the-daily-show-with-trevor-noah:-ears-edition,30.78,-16.5
the-daily-signal,20.38,17.13
the-damage-report-with-john-iadarola,22.53,-23.06
the-dan-bongino-show,13.79,28.9
the-david-pakman-show,36.83,-14.8
the-deal,41.88,-2.64
the-debate,38.0,5.21
the-dershow,33.93,9.18
the-devin-nunes-podcast,31.89,14.44
the-dinesh-d’souza-podcast,21.9,22.12
the-dispatch,41.19,5.33
the-donlon-report,38.24,8.92
the-economist-asks,40.33,-1.78
the-economist,42.4,-1.43
the-epoch-times,24.46,16.31
the-evening-times,41.71,1.48
the-ezra-klein-show,40.87,-8.67
the-faulkner-focus,29.25,19.06
the-federalist,21.77,18.67
the-fifth-column,33.47,6.69
the-five,26.33,16.57
the-fourth-watch-podcast,36.92,-4.19
the-gateway-pundit,14.91,23.64
the-gist,33.67,-10.47
the-glenn-beck-program,15.14,28.17
the-globe-and-mail,43.99,-1.14
the-gorka-reality-check,19.67,22.42
the-grayzone,17.88,-24.87
the-guardian,40.67,-7.97
the-hartmann-report,23.61,-21.11
the-hill,41.94,-1.29
the-holy-post-podcast,33.56,-9.89
the-independent,38.37,-6.99
the-ingraham-angle,20.22,25.23
the-intercept,37.46,-14.1
the-jimmy-dore-show,12.33,-25.07
the-joe-rogan-experience,17.71,6.88
the-journal-editorial-report,39.89,8.22
the-journal.,48.87,-0.27
the-katie-phang-show,33.83,-17.0
the-larry-elder-show,27.89,19.5
the-larry-kudlow-show,22.41,19.0
the-last-refuge,18.89,22.02
the-last-word-with-lawrence-o’donnell,28.25,-19.88
the-lawfare-podcast,41.33,-5.56
the-lead-with-jake-tapper,36.9,-15.19
the-libertarian,38.22,1.67
the-libertarian-republic,33.06,11.25
the-liberty-loft,20.99,18.67
the-lincoln-project,27.33,-10.71
the-listening-post,34.53,-10.56
the-majority-report-with-sam-seder,35.22,-17.42
the-mark-levin-show,10.35,30.47
the-mary-trump-show,20.33,-20.25
the-matt-walsh-show,19.16,24.52
the-mccarthy-report,42.67,7.67
the-media-roundtable-with-dan-granger,40.11,1.56
the-megyn-kelly-show,29.56,15.06
the-mehdi-hasan-show,31.0,-19.0
the-meidastouch-podcast,24.95,-18.39
the-messenger,40.7,4.89
the-michael-knowles-show,16.78,25.94
the-michael-savage-show,12.6,26.94
the-minnesota-star-tribune,46.15,-3.12
